FullCategoryName,UPC,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
Health & Beauty -> Fragrances,341419592,New,B2BMarketplace,0.038461538,0.038461538,0.166666667,0.05,2,$28 ,24%,24%,0.055555556,2,$28 
"Clothing, Shoes & Accessories -> Shoes -> Womens",8421954087,New,B2BMarketplace,0.01384083,0.031746032,0.016064257,0.1,4,$12 ,13%,3%,0.108108108,4,$12 
Electronics -> Video Games -> Games -> Sony,10086632590,New,B2BMarketplace,0.142857143,0.142857143,0.2,0.5,1,$6 ,18%,10%,,,
Electronics -> Video Games -> Games -> Sony,10086632767,New,B2BMarketplace,0.24,0.25,0.972972973,0.272727273,6,$46 ,22%,13%,0.0625,1,$6 
Electronics -> Video Games -> Games -> Sony,10086632866,New,B2BMarketplace,0.057142857,0.057142857,0.173913043,0.086956522,2,$18 ,15%,23%,0.066666667,1,$9 
Electronics -> Video Games -> Games -> Sony,10086632873,New,B2BMarketplace,0.476190476,0.476190476,2.777777778,0.555555556,10,$99 ,17%,17%,0.9,9,$90 
Electronics -> Video Games -> Games -> Sony,10086633016,New,B2BMarketplace,0.053333333,0.053333333,0.470588235,0.059701493,4,$20 ,13%,13%,0.068965517,4,$20 
Electronics -> Video Games -> Games -> Sony,10086633061,New,B2BMarketplace,0.2,0.203389831,1.484536082,0.226415094,12,$125 ,17%,26%,0.315789474,12,$125 
Electronics -> Video Games -> Games -> Other,10086640748,New,B2BMarketplace,0.017241379,0.017241379,0.142857143,0.019607843,1,$5 ,23%,13%,0.02,1,$5 
Electronics -> Video Games -> Games -> Microsoft,10086642001,New,B2BMarketplace,0.125,0.125,0.5625,0.166666667,3,$9 ,9%,8%,0.214285714,3,$9 
Electronics -> Video Games -> Games -> Nintendo,10086770025,New,B2BMarketplace,0.018181818,0.018181818,0.03030303,0.045454545,1,$9 ,45%,30%,0.055555556,1,$9 
Electronics -> Video Games -> Games -> Nintendo,10086770049,New,B2BMarketplace,0.80952381,0.80952381,5.254545455,0.944444444,17,$94 ,28%,19%,1.6,16,$86 
Electronics -> Video Games -> Games -> Nintendo,10086770247,New,B2BMarketplace,0.322580645,0.322580645,2.222222222,0.454545455,10,$50 ,25%,15%,0.588235294,10,$50 
Electronics -> Video Games -> Games -> Nintendo,10086770261,New,B2BMarketplace,0.341269841,0.341269841,5.35942029,0.352459016,43,$929 ,36%,36%,0.280991736,34,$749 
Electronics -> Video Games -> Games -> Nintendo,10086770278,New,B2BMarketplace,0.243478261,0.243478261,3.280334728,0.259259259,28,$404 ,24%,24%,0.242718447,25,$371 
Electronics -> Video Games -> Games -> Nintendo,10086770315,New,B2BMarketplace,0.1,0.111111111,0.142857143,0.5,1,$10 ,25%,25%,,,
Electronics -> Video Games -> Games -> Nintendo,10086770322,New,B2BMarketplace,0.085365854,0.093333333,1.042553191,0.104477612,7,$53 ,25%,19%,0.068965517,4,$26 
Electronics -> Video Games -> Games -> Nintendo,10086770339,New,B2BMarketplace,0.115384615,0.115384615,0.947368421,0.117647059,6,$64 ,18%,18%,0.1,5,$52 
Home Improvement -> Kitchen & Bath Fixtures,10147345889,New,B2BMarketplace,8,8,16,16,32,$384 ,34%,34%,32,32,$384 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343876200,New,B2BMarketplace,0.076923077,0.076923077,0.5,0.090909091,1,$25 ,42%,42%,0.111111111,1,$25 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343901186,New,B2BMarketplace,0.24137931,0.24137931,5.802631579,0.25,21,$206 ,32%,31%,0.283783784,21,$206 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343901407,New,B2BMarketplace,0.046511628,0.046511628,0.117647059,0.040816327,2,$24 ,32%,32%,0.083333333,2,$24 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343914056,New,B2BMarketplace,0.0125,0.0125,0.111111111,0.01010101,1,$15 ,11%,11%,0.010526316,1,$15 
Office -> Office Supplies,10343915688,New,B2BMarketplace,0.007462687,0.007936508,0.035714286,0.009433962,1,$10 ,33%,29%,0.009708738,1,$10 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343915763,New,B2BMarketplace,0.007462687,0.007936508,0.035714286,0.009433962,1,$29 ,53%,53%,0.009708738,1,$29 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343923904,New,B2BMarketplace,0.111111111,0.111111111,0.2,0.25,1,$39 ,53%,53%,,,
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343931985,New,B2BMarketplace,0.111111111,0.111111111,0.2,0.020408163,1,$15 ,38%,38%,,,
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343932210,New,B2BMarketplace,0.01369863,0.01369863,0.5,0.014084507,1,$25 ,33%,33%,0.019607843,1,$25 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343932241,New,B2BMarketplace,0.032786885,0.032786885,0.235294118,0.03960396,4,$72 ,36%,36%,0.045977011,4,$72 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343932289,New,B2BMarketplace,0.054794521,0.054794521,2,0.056338028,4,$160 ,32%,32%,0.078431373,4,$160 
Home -> Vacuums,11120249934,New Damaged Box,B2BMarketplace,0.125,0.132075472,Infinity,0.132075472,7,$147 ,39%,39%,0.134615385,7,$147 
Home -> Vacuums,11120269413,New,B2BMarketplace,0.016806723,0.016806723,0.041666667,0.028169014,2,$300 ,25%,85%,0.034482759,2,$300 
Party & Occasions -> Decorations & Favors,11179899890,New Damaged Box,B2BMarketplace,0.007211538,0.026785714,0.00795756,0.09375,3,$27 ,26%,26%,0.1,3,$27 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502596967,New,B2BMarketplace,0.1,0.1,0.157894737,0.272727273,3,$57 ,52%,46%,0.333333333,3,$57 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502630173,New,B2BMarketplace,0.103448276,0.103448276,0.89010989,0.126760563,9,$79 ,35%,33%,0.169811321,9,$79 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502660941,New,B2BMarketplace,0.049586777,0.049586777,0.467532468,0.056603774,6,$48 ,33%,33%,0.058252427,6,$48 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502660958,New,B2BMarketplace,0.023255814,0.023809524,0.2,0.027027027,1,$10 ,27%,26%,0.028571429,1,$10 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502665618,New,B2BMarketplace,0.0125,0.0125,0.111111111,0.014084507,1,$5 ,19%,19%,0.019607843,1,$5 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502665625,New,B2BMarketplace,0.083333333,0.083333333,0.222222222,0.181818182,2,$30 ,36%,36%,0.111111111,1,$15 
Home -> Arts & Crafts,12502665755,New Damaged Box,B2BMarketplace,0.008695652,0.008928571,0.016393443,0.018867925,1,$39 ,30%,27%,0.019230769,1,$39 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502673354,New,B2BMarketplace,0.138888889,0.138888889,0.961538462,0.142857143,5,$150 ,45%,45%,0.161290323,5,$150 
Electronics -> Video Games -> Games -> Nintendo,13388410194,New,B2BMarketplace,0.321428571,0.321428571,5.333333333,0.333333333,36,$324 ,15%,15%,0.352941176,36,$324 
Electronics -> Video Games -> Games -> Nintendo,13388410293,New,B2BMarketplace,0.0625,0.0625,0.157894737,0.103448276,3,$45 ,38%,38%,0.130434783,3,$45 
Electronics -> Video Games -> Games -> Microsoft,13388550265,New,B2BMarketplace,0.022727273,0.022727273,0.111111111,0.028571429,1,$8 ,16%,16%,0.03125,1,$8 
Electronics -> Video Games -> Games -> Microsoft,13388550364,New,B2BMarketplace,0.111111111,0.111111111,0.142857143,0.5,1,$5 ,8%,8%,,,
Electronics -> Video Games -> Games -> Microsoft,13388550463,New,B2BMarketplace,0.105769231,0.105769231,0.876811594,0.139240506,11,$88 ,17%,12%,0.144736842,11,$88 
Electronics -> Video Games -> Games -> Sony,13388560684,New,B2BMarketplace,0.071428571,0.071428571,0.1,0.25,1,$13 ,22%,22%,,,
Electronics -> Video Games -> Games -> Sony,13388560776,New,B2BMarketplace,0.115702479,0.116666667,1.619834711,0.128440367,14,$95 ,17%,11%,0.137254902,14,$95 
Electronics -> Video Games -> Games -> Sony,13388560943,New,B2BMarketplace,0.064935065,0.079365079,0.662251656,0.101010101,10,$201 ,34%,34%,0.113636364,10,$201 
Electronics -> Video Games -> Games -> Microsoft,13388570010,New,B2BMarketplace,0.09375,0.09375,1.191176471,0.113924051,9,$46 ,9%,9%,0.112676056,8,$40 
Electronics -> Video Games -> Games -> Microsoft,13388570096,New,B2BMarketplace,0.036363636,0.036363636,0.888888889,0.039215686,4,$30 ,14%,13%,0.045454545,4,$30 
Electronics -> Video Games -> Games -> Microsoft,13388570133,New,B2BMarketplace,0.032258065,0.032258065,0.25,0.037735849,2,$25 ,22%,25%,0.052631579,2,$25 
Electronics -> Video Games -> Games -> Microsoft,13388570171,New,B2BMarketplace,0.01754386,0.017857143,0.333333333,0.018867925,1,$10 ,31%,20%,0.020408163,1,$10 
Electronics -> Video Games -> Games -> Sony,13388580095,New,B2BMarketplace,0.05,0.05,0.818181818,0.056603774,6,$94 ,27%,26%,0.058823529,6,$94 
Electronics -> Video Games -> Games -> Sony,13388580132,New,B2BMarketplace,0.057692308,0.057692308,1.285714286,0.060606061,6,$125 ,35%,42%,0.068181818,6,$125 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",13803341768,New,B2BMarketplace,0.011494253,0.011494253,0.0625,0.014084507,1,$18 ,19%,24%,0.019607843,1,$18 
Home -> Kitchen & Dining,14400660009,New,B2BMarketplace,0.00990099,0.01,1,0.01010101,1,$9 ,82%,64%,0.010526316,1,$9 
Home -> Appliances -> Major Appliances -> Laundry,14501165885,New,B2BMarketplace,0.25,0.25,0.5,0.5,1,$50 ,56%,63%,0.5,1,$50 
Electronics -> Computers -> Computer Software -> Games,14633369601,New,B2BMarketplace,0.069767442,0.142857143,0.162162162,0.171428571,18,$54 ,10%,8%,0.191489362,18,$54 
Electronics -> Video Games -> Games -> Microsoft,14633376395,New,B2BMarketplace,0.081081081,0.103448276,0.3,0.142857143,3,$9 ,15%,8%,0.166666667,3,$9 
Electronics -> Video Games -> Games -> Sony,14633377194,New,B2BMarketplace,0.052631579,0.052631579,0.571428571,0.057142857,2,$20 ,21%,20%,0.0625,2,$20 
Electronics -> Video Games -> Games -> Sony,14633377316,New,B2BMarketplace,0.342857143,0.342857143,3.272727273,0.387096774,12,$65 ,14%,18%,0.47826087,11,$55 
