FullCategoryName,UPC,BundleTitle,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
Health & Beauty -> Fragrances,341419592,"Clinique CLI15689 Happy Eau de Parfum, Perfume for Women, 3.4 Oz",BRAND NEW,B2BMarketplace,0.036363636,0.036363636,0.166666667,0.046511628,2,$28 ,24%,24%,0.051282051,2,$28 
"Clothing, Shoes & Accessories -> Shoes -> Womens",8421954087,Ty Toys T95408 Open on The Ankle Plush Toy,BRAND NEW,B2BMarketplace,0.01369863,0.031007752,0.016064257,0.093023256,4,$12 ,13%,3%,0.1,4,$12 
Electronics -> Video Games -> Games -> Sony,10086632590,Sega Sonic Colors Ultimate (PS4),BRAND NEW,B2BMarketplace,0.1,0.1,0.2,0.2,1,$6 ,18%,10%,,,
Electronics -> Video Games -> Games -> Sony,10086632767,SEGA Demon Slayer: The Hinokami Chronicles (PlayStation 4),BRAND NEW,B2BMarketplace,0.214285714,0.222222222,0.972972973,0.24,6,$46 ,22%,13%,0.052631579,1,$6 
Electronics -> Video Games -> Games -> Sony,10086632866,Sony Sonic Frontiers (PlayStation 4),BRAND NEW,B2BMarketplace,0.052631579,0.052631579,0.173913043,0.076923077,2,$18 ,15%,23%,0.055555556,1,$9 
Electronics -> Video Games -> Games -> Sony,10086632873,SEGA Sonic Frontiers (PlayStation 5),BRAND NEW,B2BMarketplace,0.416666667,0.416666667,2.777777778,0.476190476,10,$99 ,17%,17%,0.692307692,9,$90 
Electronics -> Video Games -> Games -> Sony,10086633016,Sega of America Sonic Origins Plus (PlayStation 4),BRAND NEW,B2BMarketplace,0.051282051,0.051282051,0.470588235,0.057142857,4,$20 ,13%,13%,0.06557377,4,$20 
Electronics -> Video Games -> Games -> Sony,10086633061,SEGA Sonic Superstars (PS5),BRAND NEW,B2BMarketplace,0.19047619,0.193548387,1.484536082,0.214285714,12,$125 ,17%,26%,0.292682927,12,$125 
Electronics -> Video Games -> Games -> Other,10086640748,Sonic Forces Standard Edition - Xbox One,BRAND NEW,B2BMarketplace,0.016393443,0.016393443,0.142857143,0.018518519,1,$5 ,23%,13%,0.018867925,1,$5 
Electronics -> Video Games -> Games -> Microsoft,10086642001,SEGA Sonic Colors Ultimate (Xbox One),BRAND NEW,B2BMarketplace,0.111111111,0.111111111,0.5625,0.142857143,3,$9 ,9%,8%,0.176470588,3,$9 
Electronics -> Video Games -> Games -> Nintendo,10086770025,Sega Puyo Puyo Tetris (Nintendo Switch),BRAND NEW,B2BMarketplace,0.017241379,0.017241379,0.03030303,0.04,1,$9 ,45%,30%,0.047619048,1,$9 
Electronics -> Video Games -> Games -> Nintendo,10086770049,Sega Sonic Forces Standard Edition (Nintendo Switch),BRAND NEW,B2BMarketplace,0.708333333,0.708333333,5.254545455,0.80952381,17,$94 ,28%,19%,1.230769231,16,$86 
Electronics -> Video Games -> Games -> Nintendo,10086770247,Sega Super Monkey Ball Banana Mania (Nintendo Switch),BRAND NEW,B2BMarketplace,0.294117647,0.294117647,2.222222222,0.4,10,$50 ,25%,15%,0.5,10,$50 
Electronics -> Video Games -> Games -> Nintendo,10086770261,SEGA Demon Slayer Kimetsu no Yaiba The Hinokami Chronicles (Nintendo Switch),BRAND NEW,B2BMarketplace,0.333333333,0.333333333,5.35942029,0.344,43,$929 ,36%,36%,0.274193548,34,$749 
Electronics -> Video Games -> Games -> Nintendo,10086770278,SEGA Sonic Frontiers (Nintendo Switch),BRAND NEW,B2BMarketplace,0.237288136,0.237288136,3.280334728,0.252252252,28,$404 ,24%,24%,0.235849057,25,$371 
Electronics -> Video Games -> Games -> Nintendo,10086770315,SEGA Sonic Origins Plus - (Nintendo Switch),BRAND NEW,B2BMarketplace,0.076923077,0.083333333,0.142857143,0.2,1,$10 ,25%,25%,,,
